what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1439971832284
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1439971832284
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1439971832284
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1439971832284
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1439971832284
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1439971832284
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1439971832284
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1439971832284
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1439971832284
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1439971832284
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1439971832284
started,bundle,FragmentoRCP,1.0.3.201508152215,"FragmentoRCP",1439971832284
started,bundle,de.unistuttgart.iaas.abstractConstructs.staticFragmento.model,1.0.0.201508152215,"de.unistuttgart.iaas.abstractConstructs.staticFragmento.model",1439971832284
started,bundle,de.unistuttgart.iaas.abstractConstructs.staticFragmento.ui,1.0.0.201508152215,"de.unistuttgart.iaas.abstractConstructs.staticFragmento.ui",1439971832284
started,bundle,de.unistuttgart.iaas.bpel.extensions.model,1.0.0.201508152215,"de.unistuttgart.iaas.bpel.extensions.model",1439971832284
started,bundle,de.unistuttgart.iaas.bpel.extensions.ui,1.0.0.201508152215,"de.unistuttgart.iaas.bpel.extensions.ui",1439971832284
started,bundle,org.eclipse.bpel.common.model,0.8.0.201508152215,"org.eclipse.bpel.common.model",1439971832284
started,bundle,org.eclipse.bpel.common.ui,0.8.0.201508152215,"org.eclipse.bpel.common.ui",1439971832284
started,bundle,org.eclipse.bpel.debug,1.0.0.201508152215,"org.eclipse.bpel.debug",1439971832294
started,bundle,org.eclipse.bpel.model,0.8.0.201508152215,"org.eclipse.bpel.model",1439971832294
started,bundle,org.eclipse.bpel.model.logging,1.0.0.201508152215,"org.eclipse.bpel.model.logging",1439971832294
started,bundle,org.eclipse.bpel.runtimes,0.8.0.201508152215,"org.eclipse.bpel.runtimes",1439971832294
started,bundle,org.eclipse.bpel.simpl.model,0.1.2.201508152215,"org.eclipse.bpel.simpl.model",1439971832294
started,bundle,org.eclipse.bpel.simpl.ui,0.1.4.201508152215,"org.eclipse.bpel.simpl.ui",1439971832294
started,bundle,org.eclipse.bpel.simtech.extensions.model,0.0.1.201508152215,"org.eclipse.bpel.simtech.extensions.model",1439971832294
started,bundle,org.eclipse.bpel.simtech.extensions.ui,0.0.1.201508152215,"org.eclipse.bpel.simtech.extensions.ui",1439971832294
started,bundle,org.eclipse.bpel.ui,0.8.0.201508152215,"org.eclipse.bpel.ui",1439971832314
started,bundle,org.eclipse.bpel.wsil.model,0.8.0.201508152215,"org.eclipse.bpel.wsil.model",1439971832314
started,bundle,org.eclipse.jem,2.0.402.v201106132000,"org.eclipse.jem",1439971832314
started,bundle,org.eclipse.jem.workbench,2.0.301.v201104271300,"org.eclipse.jem.workbench",1439971832314
started,bundle,org.eclipse.jst.j2ee,1.1.406.v201110130300,"org.eclipse.jst.j2ee",1439971832344
started,bundle,org.eclipse.jst.j2ee.core,1.2.7.v201110060300,"org.eclipse.jst.j2ee.core",1439971832344
started,bundle,org.eclipse.jst.jsp.core,1.2.308.v201109202150,"org.eclipse.jst.jsp.core",1439971832354
started,bundle,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.ui",1439971832354
started,bundle,org.eclipse.simpl.communication,0.1.0.201508152215,"org.eclipse.simpl.communication",1439971832354
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.4.v201106210700,"org.eclipse.wst.common.emfworkbench.integration",1439971832354
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1439971832354
started,bundle,org.eclipse.wst.common.modulecore,1.2.7.v201110060300,"org.eclipse.wst.common.modulecore",1439971832354
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1439971832354
started,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1439971832354
started,bundle,org.eclipse.wst.validation,1.2.204.v201109220700,"org.eclipse.wst.validation",1439971832354
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1439971832354
started,bundle,org.eclipse.wst.wsdl,1.2.105.v201108291616,"org.eclipse.wst.wsdl",1439971832354
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1439971832354
started,bundle,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui",1439971832354
started,bundle,org.eclipse.wst.xsd.ui,1.2.305.v201104132127,"org.eclipse.wst.xsd.ui",1439971832354
os,sysinfo,,,"win32",1439971832354
arch,sysinfo,,,"x86",1439971832354
ws,sysinfo,,,"win32",1439971832354
locale,sysinfo,,,"de_DE",1439971832354
processors,sysinfo,,,"4",1439971832354
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1439971832354
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1439971832354
java.specification.name,sysinfo,,,"Java Platform API Specification",1439971832354
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1439971832354
java.specification.version,sysinfo,,,"1.6",1439971832354
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1439971832354
java.version,sysinfo,,,"1.6.0_25",1439971832354
java.vm.info,sysinfo,,,"mixed mode",1439971832354
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1439971832354
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1439971832354
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1439971832354
java.vm.specification.version,sysinfo,,,"1.0",1439971832354
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1439971832354
java.vm.version,sysinfo,,,"20.0-b11",1439971832354
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1439971832414
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1439971832454
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1439971832554
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1439971832674
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1439971832724
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1439971832784
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1439971832784
